"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-02-06T15:53:15.47-05:00[America/New_York]","0.0","66.94"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-02-06T15:54:22.488-05:00[America/New_York]","0.0","66.02"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-02-06T15:55:28.527-05:00[America/New_York]","0.0","21.23"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-02-06T15:55:49.765-05:00[America/New_York]","0.0","34.4"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-02-06T15:56:24.163-05:00[America/New_York]","0.0","22.4"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-02-06T15:56:46.56-05:00[America/New_York]","0.0","6.01"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-02-06T15:56:52.624-05:00[America/New_York]","0.0","70.45"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-02-06T15:58:03.127-05:00[America/New_York]","0.0","10.89"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-02-06T15:58:26.285-05:00[America/New_York]","0.0","39.17"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-06T15:59:05.459-05:00[America/New_York]","0.0","12.64"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-02-06T15:59:18.149-05:00[America/New_York]","0.0","16.26"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-02-06T15:59:34.457-05:00[America/New_York]","0.0","27.59"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-06T16:00:02.097-05:00[America/New_York]","0.0","34.46"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-02-06T16:00:36.607-05:00[America/New_York]","0.0","12.15"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-06T16:00:48.812-05:00[America/New_York]","0.0","58.44"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-06T16:01:47.303-05:00[America/New_York]","0.0","58.69"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-02-06T16:02:46.049-05:00[America/New_York]","0.0","43.29"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-02-06T16:03:29.393-05:00[America/New_York]","0.0","46.22"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-02-06T16:10:22.308-05:00[America/New_York]","0.0","147.45"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-02-06T16:12:49.812-05:00[America/New_York]","0.0","99.95"
