"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-04-20T11:51:58.668-04:00[America/New_York]","0.0","36.48"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-04-20T11:52:35.219-04:00[America/New_York]","0.0","36.23"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-04-20T11:53:11.45-04:00[America/New_York]","0.0","7.41"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-04-20T11:53:18.858-04:00[America/New_York]","0.0","19.26"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-04-20T11:53:38.123-04:00[America/New_York]","0.0","14.08"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-04-20T11:53:52.207-04:00[America/New_York]","0.0","5.92"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-04-20T11:53:58.182-04:00[America/New_York]","0.0","35.84"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-04-20T11:54:34.081-04:00[America/New_York]","0.0","10.22"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-04-20T11:54:44.356-04:00[America/New_York]","0.0","2.77"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-04-20T11:54:47.186-04:00[America/New_York]","0.0","23.69"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-04-20T11:55:10.874-04:00[America/New_York]","0.0","7.47"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-04-20T11:55:18.396-04:00[America/New_York]","0.0","7.73"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-04-20T11:55:26.175-04:00[America/New_York]","0.0","14.21"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-04-20T11:55:40.435-04:00[America/New_York]","0.0","24.67"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-04-20T11:56:05.156-04:00[America/New_York]","0.0","30.51"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-04-20T11:56:35.724-04:00[America/New_York]","0.0","4.66"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-04-20T11:56:40.436-04:00[America/New_York]","0.0","7.89"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-04-20T11:56:48.385-04:00[America/New_York]","0.0","7.44"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-04-20T11:56:55.88-04:00[America/New_York]","0.0","6.3"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-04-20T11:57:26.393-04:00[America/New_York]","0.0","9.64"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-04-20T12:00:46.708-04:00[America/New_York]","0.0","4.89"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-04-20T12:00:51.652-04:00[America/New_York]","0.0","6.08"
