"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-05-09T13:50:45.352-04:00[America/New_York]","0.0","46.71"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-05-09T13:51:32.147-04:00[America/New_York]","0.0","41.92"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-05-09T13:52:14.075-04:00[America/New_York]","0.0","8.7"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-05-09T13:52:22.773-04:00[America/New_York]","0.0","21.31"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-05-09T13:52:44.085-04:00[America/New_York]","0.0","13.25"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-05-09T13:52:57.332-04:00[America/New_York]","0.0","3.07"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-05-09T13:53:00.459-04:00[America/New_York]","0.0","12.24"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-05-09T13:53:12.762-04:00[America/New_York]","0.0","8.87"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-05-09T13:53:21.691-04:00[America/New_York]","0.0","4.8"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-05-09T13:53:26.547-04:00[America/New_York]","0.0","38.03"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-05-09T13:54:04.575-04:00[America/New_York]","0.0","12.87"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-05-09T13:54:17.499-04:00[America/New_York]","0.0","11.82"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-05-09T13:54:29.369-04:00[America/New_York]","0.0","12.91"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-05-09T13:54:42.334-04:00[America/New_York]","0.0","37.6"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-05-09T13:55:19.986-04:00[America/New_York]","0.0","43.54"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-05-09T13:56:03.583-04:00[America/New_York]","0.0","5.91"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-05-09T13:56:09.547-04:00[America/New_York]","0.0","8.0"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-05-09T13:56:17.6-04:00[America/New_York]","0.0","7.96"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-05-09T13:56:25.616-04:00[America/New_York]","0.0","7.11"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-05-09T13:57:13.389-04:00[America/New_York]","0.0","10.3"
"Regression checklist","Sitemap - All links in Sitemap point to the right page","SUCCESS","2018-05-09T13:57:23.746-04:00[America/New_York]","0.0","171.9"
"Regression checklist","Homepage - Footer - All the links in ""Additional Links""","SUCCESS","2018-05-09T14:00:15.648-04:00[America/New_York]","0.0","77.47"
"Regression checklist","Homepage - USA search feeds display results","SUCCESS","2018-05-09T14:01:33.122-04:00[America/New_York]","0.0","4.66"
"Regression checklist","Homepage - Apply Online - Verify the redirection from DAC when RI is cancelled","SUCCESS","2018-05-09T14:01:37.835-04:00[America/New_York]","0.0","5.78"
