"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-12T14:21:34.894-04:00[America/New_York]","0.0","35.88"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-12T14:22:10.846-04:00[America/New_York]","0.0","43.21"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-12T14:22:54.057-04:00[America/New_York]","0.0","8.78"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-12T14:23:02.834-04:00[America/New_York]","0.0","21.28"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-03-12T14:23:24.113-04:00[America/New_York]","0.0","14.58"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-12T14:23:38.692-04:00[America/New_York]","0.0","3.95"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-12T14:23:42.697-04:00[America/New_York]","0.0","8.44"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-12T14:23:51.186-04:00[America/New_York]","0.0","8.05"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-12T14:23:59.294-04:00[America/New_York]","0.0","2.64"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-12T14:24:01.992-04:00[America/New_York]","0.0","16.71"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-12T14:24:18.708-04:00[America/New_York]","0.0","13.81"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-12T14:24:32.57-04:00[America/New_York]","0.0","7.57"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-12T14:24:40.193-04:00[America/New_York]","0.0","13.44"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-12T14:24:53.687-04:00[America/New_York]","0.0","25.13"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-12T14:25:18.875-04:00[America/New_York]","0.0","32.04"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-12T14:25:50.968-04:00[America/New_York]","0.0","4.93"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-12T14:25:55.95-04:00[America/New_York]","0.0","8.34"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-12T14:26:04.347-04:00[America/New_York]","0.0","9.85"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-12T14:26:14.248-04:00[America/New_York]","0.0","12.7"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-12T14:26:27-04:00[America/New_York]","0.0","9.93"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-03-12T14:26:57.272-04:00[America/New_York]","0.0","8.81"
