"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Homepage - Header - All the menu links on the ""Get Assistance"" tab","SUCCESS","2018-03-26T10:20:23.921-04:00[America/New_York]","0.0","67.2"
"Regression checklist","Homepage - Header - All the menu links on the ""Information"" tab","SUCCESS","2018-03-26T10:21:31.193-04:00[America/New_York]","0.0","63.71"
"Regression checklist","Homepage - Header - All the menu links on the ""About Us"" tab","SUCCESS","2018-03-26T10:22:34.901-04:00[America/New_York]","0.0","9.9"
"Regression checklist","Homepage - Header - All the menu links on the ""Help"" tab","SUCCESS","2018-03-26T10:22:44.802-04:00[America/New_York]","0.0","30.65"
"Regression checklist","Homepage - Key Links - Main links on homepage to assert that the pages open correctly","SUCCESS","2018-03-26T10:23:15.455-04:00[America/New_York]","0.0","15.63"
"Regression checklist","Homepage - Currently declared disasters - States in the declared disaster map are clickable","SUCCESS","2018-03-26T10:23:31.086-04:00[America/New_York]","0.0","3.44"
"Regression checklist","Homepage - Currently declared disasters - The declared states on the declared disaster map","SUCCESS","2018-03-26T10:23:34.576-04:00[America/New_York]","0.0","40.68"
"Regression checklist","Homepage - Find Local Resources flows correctly","SUCCESS","2018-03-26T10:24:15.311-04:00[America/New_York]","0.0","9.46"
"Regression checklist","News Feeds - All of the titles on the page","SUCCESS","2018-03-26T10:24:24.83-04:00[America/New_York]","0.0","6.47"
"Regression checklist","Community Leaders - Results of the quick search items","SUCCESS","2018-03-26T10:24:31.354-04:00[America/New_York]","0.0","35.51"
"Regression checklist","Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-03-26T10:25:06.863-04:00[America/New_York]","0.0","17.33"
"Regression checklist","Address Look-Up - Declared disasters","SUCCESS","2018-03-26T10:25:24.244-04:00[America/New_York]","0.0","7.89"
"Regression checklist","Find Assistance - Benefits results display according to use cases","SUCCESS","2018-03-26T10:25:32.187-04:00[America/New_York]","0.0","15.28"
"Regression checklist","Find Assistance - Dynamically verify results of the questionnaire","SUCCESS","2018-03-26T10:25:47.52-04:00[America/New_York]","0.0","25.16"
"Regression checklist","Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-03-26T10:26:12.734-04:00[America/New_York]","0.0","31.03"
"Regression checklist","News Feeds - FEMA Twitter feed is present","SUCCESS","2018-03-26T10:26:43.82-04:00[America/New_York]","0.0","4.83"
"Regression checklist","Forms of Assistance - Category Type filter with the first seven types","SUCCESS","2018-03-26T10:26:48.703-04:00[America/New_York]","0.0","8.13"
"Regression checklist","Forms of Assistance - Category Type filter with the next eight types","SUCCESS","2018-03-26T10:26:56.881-04:00[America/New_York]","0.0","8.7"
"Regression checklist","Forms of Assistance - Federal Agency filter with the first seven types","SUCCESS","2018-03-26T10:27:05.633-04:00[America/New_York]","0.0","9.46"
"Regression checklist","Forms of Assistance - Federal Agency filter with the next seven types","SUCCESS","2018-03-26T10:27:15.15-04:00[America/New_York]","0.0","11.04"
"Regression checklist","Community Leaders - Type keyword into search bar","SUCCESS","2018-03-26T10:27:46.558-04:00[America/New_York]","0.0","18.01"
